Competitor,Angle Category,Hook Copy,Transcript,Visual Style,Nicho,Longevity Tier
Creamy Skincare,Pain-to-Solution,"Se você já conhece o poder do Ácido Salicílico, sabe que ele vai além de secar espinhas","Sabe quando você olha no espelho e sente a textura da pele estranha? Com os poros marcados e aquele brilho que volta poucas horas depois de você lavar o rosto? Pois é, não é falta de cuidado, é só a sua pele tentando se proteger. O excesso de oleosidade entope os poros, causa inflamação e facilita os cravos e espinhas. É aí que entra o ácido salicílico. Ele faz uma esfoliação química, limpa por dentro dos poros e controla a oleosidade sem agredir. Nada de ressecar tudo, a ideia é equilibrar. É por isso que o tônico de ácido salicílico da Creamy faz sentido. Trata enquanto acalma. Skincare é sobre escolhas inteligentes. Se você busca esse equilíbrio, esse tônico precisa estar na sua rotina.","Aqui está a análise:

1.  **Formato visual:** UGC talking head / aplicação de produto
2.  **Iluminação:** Natural/Orgânico
3.  **Foco na pele:** Textura realista visível
4.  **Paleta de cores:** Branco, verde-água, tons de pele
5.  **Qualidade de produção:** UGC casual
6.  **Elemento principal de atenção:** A demonstração dos problemas de pele e a solução do produto.",Beleza,Long-Runner
Live!,Lifestyle/Aspiration,Fit check de hoje para um domingo de corrida de rua,Música,"Aqui está a análise:

1.  **Formato visual:** Lifestyle fitness com foco no produto em uso.
2.  **Iluminação:** Natural e orgânica, utilizando a luz do dia para um visual autêntico.
3.  **Ambiente:** Externo, em uma rua ou parque urbano com prédios e vegetação.
4.  **Paleta de cores:** Rosa vibrante, verde e tons neutros.
5.  **Qualidade de produção:** Produção profissional de alta qualidade, com boa edição e cinematografia.
6.  **Elemento principal de atenção:** A modelo em movimento e o conjunto esportivo rosa vibrante.",Wellness,Testing
Beleza Brasileira,Pain-to-Solution,BumBum Cream realmente funciona,"Afinal, o Bumbum Cream realmente funciona? Tenho certeza que você já ouviu falar nesse creme, até porque ele tá super famoso por conta dessa ação termogênica, que depois que você passa, ele deixa a pele vermelha. E ainda ajuda contra estrias, celulites e pelos encravados. Sim, é isso mesmo que você ouviu, é tudo isso e ainda mais um pouco. Ele é regularizado pela Anvisa, tem resultados comprovados. Na composição dele tem centela asiática, o que ajuda muito na nossa pele. Resumindo tudo, ele é um creme perfeito, gente, que faz milagre realmente. Para ver resultados, é indicado você usar todos os dias. E uma super novidade é que agora lá no site da Beleza Brasileira você encontra ele no tamanho de refil. Então já corre pro site, garante o seu e já garante o seu refil também com o nosso cupom LIMS que te dá desconto no site todo.","Aqui está a análise:

1.  **Formato visual:** Aplicação de produto com demonstração pessoal.
2.  **Iluminação:** Mista (predominantemente natural com auxílio leve).
3.  **Foco corporal:** Produto sendo aplicado nas pernas e coxas.
4.  **Paleta de cores:** Quente, pastel, neutro.
5.  **Qualidade de produção:** Semi-profissional (estilo influenciador).
6.  **Elemento principal de atenção:** O produto e a demonstração da sua ação termogênica (vermelhidão).",Beleza,Performer
Creamy Skincare,Pain-to-Solution,"O Ácido Lático da Creamy promove uma esfoliação suave, ajudando a remover células mortas, melhorar a textura e devolver o viço da pele sem agredir","Você quer começar a usar ácidos no skincare, mas tem a pele sensível ou medo de irritar ela? A gente acha que todo tipo de ácido vai sensibilizar, irritar, descamar a pele. Mas não, tem ativos que são mais gentis pra pele e próprios até pras peles mais sensíveis. É o caso do ácido lático da Creamy. O ácido lático, ele é um ácido suave pra sua pele. E ele vai agir fazendo uma esfoliação química superficial. E nessa formulação, eles ainda combinam com niacinamida e alfa-bisaboló, que vão agir, combater na inflamação e também controlando a oleosidade. Então ele vai, ao mesmo tempo, melhorar a textura da sua pele, e deixe ela mais uniforme, iluminada e hidratada, enquanto controla a oleosidade.","Aqui está a análise do vídeo:

1.  **Formato visual:** Talking head (influencer), antes-depois, animação explicativa.
2.  **Iluminação:** Estúdio/Ring Light (foco no sujeito).
3.  **Foco na pele:** Estilizada (suavizada, luminosa).
4.  **Paleta de cores:** Brilhante, amarela, neutra.
5.  **Qualidade de produção:** Semi-profissional, com edição de marca.
6.  **Elemento principal de atenção:** A explicação didática do produto e seus resultados visuais.",Beleza,Solid
Plato,Lifestyle/Aspiration,quando o conjunto resolve tudo 💚,"Conjunto alfaiatária de bata e calça de apenas 179. Arrume isso comigo com cada cor. Começando pelo marrom, lastex nas costas, bracelete. E o uau, não precisa de mais nada. Já o preto, um all black de respeito. Esse conjunto merece um de cada cor. Agora o nude, todos os detalhes pra vocês. Adicionei com um colar pra finalizar o look. E o uau, o que é esse conjunto? Cherry. Tá sempre presente no nosso guarda-roupas. Que merece o seu. E disponível em tamanhos PMG, hein? Uma tonalidade um pouco mais clara do marrom. E também o verde. Tá difícil escolher uma cor só, mas por R$179,00... Você pode sim levar mais de uma cor. Clica agora em Saiba Mais e Garanta. Um beijo.","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto/Try-on haul.
2.  **Iluminação:** Estúdio/Ring Light - Luz suave e uniforme que destaca a modelo e as peças.
3.  **Ambiente:** Interno
4.  **Paleta de cores:** Neutra, terrosa, com toques vibrantes.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** A modelo e as diferentes cores das roupas.",Moda,Solid
Insider Store,Pain-to-Solution,"A melhor oportunidade nem sempre é quando começa, mas quando continua","Deixa eu te contar uma coisa que muita gente não percebe na semana do consumidor. A melhor oportunidade normalmente não é quando ela começa, é quando ela continua. Quem já conhece a marca consegue aproveitar melhor o desconto. Para quem ainda não conhece, a Insider é uma marca que trabalha com tecnologia a teixo para criar peças essenciais, duráveis e pensadas para simplificar o dia a dia. E a boa notícia é que a semana do consumidor da Insider continua, O que significa que os descontos seguem com até 50% off somando as promoções do site com o meu cupom. Então se você ainda estava na dúvida ou esperando o momento certo para fazer as suas escolhas, aproveite a maior oportunidade do mês. Se era para decidir, ainda dá tempo.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head com demonstração de produto.
2.  **Iluminação:** Misto - luz natural suave complementada por iluminação de estúdio para um visual uniforme e brilhante.
3.  **Ambiente:** Interno (quarto ou sala de estar com decoração minimalista).
4.  **Paleta de cores:** Neutra, minimalista (predominantemente branco e preto).
5.  **Qualidade de produção:** Semi-profissional (visual polido e bem iluminado para conteúdo digital).
6.  **Elemento principal de atenção:** A apresentadora (mulher) e sua comunicação direta com a câmera.",Moda,Long-Runner
Creamy Skincare,Pain-to-Solution,"Se poros visíveis e oleosidade te incomodam, o novo Pore Refiner foi feito para isso",E aí,"Aqui está a análise:

1.  **Formato visual:** Aplicação de produto / antes-depois
2.  **Iluminação:** Estúdio/Ring Light
3.  **Foco na pele:** Textura realista
4.  **Paleta de cores:** Pastel, rosa e azul
5.  **Qualidade de produção:** Semi-profissional
6.  **Elemento principal de atenção:** A pele da influenciadora (e sua transformação)",Beleza,Long-Runner
Creamy Skincare,Pain-to-Solution,"Se poros visíveis e oleosidade te incomodam, o novo Pore Refiner foi feito para isso",Música Música Música,"Aqui está a análise:

1.  **Formato visual:** Aplicação de produto e demonstração de uso.
2.  **Iluminacao:** Orgânica e brilhante, possivelmente com ring light.
3.  **Foco na pele:** Estilizada e suave, sem textura realista.
4.  **Paleta de cores:** Branco, azul claro e tons amadeirados neutros.
5.  **Qualidade de producao:** Semi-profissional, com boa edição.
6.  **Elemento principal de atencao:** O produto, sua aplicação e o benefício de controle de oleosidade.",Beleza,Performer
Creamy Skincare,Pain-to-Solution,O Protetor Solar Watery Lotion FPS 60 da Creamy entrega alta proteção contra os raios UVA e UVB com textura ultraleve e acabamento confortável na pele,"Oi amigas, hoje eu vou te apresentar esse protetor solar da Creamy e te falar alguns benefícios desse maravilhoso. Indicado para todos os tipos de pele, inclusive as mais oleosas, tem uma textura aquosa que nem vocês podem ver e ele tem um toque seco e uma rápida absorção, com FPS 60 e UVR 25. Com efeito mate e o controle de oleosidade e brilho excessivo, uniformiza o tom da pele e protege contra a luz azul e a luz visível. E amigas, se eu fosse vocês, já iria garantir. Beijo!","Aqui está a análise:

1.  **Formato visual:** Aplicação de produto com demonstração.
2.  **Iluminação:** Estúdio/Ring Light com iluminação uniforme.
3.  **Foco na pele:** Estilizada/filtrada para um acabamento suave e radiante.
4.  **Paleta de cores:** Brilhante, neutra e laranja.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** O produto Creamy e o resultado na pele da modelo.",Beleza,Long-Runner
Beleza Brasileira,Pain-to-Solution,Pré treino de passar irmãs,"Dois pré-treinos de passar que eu incluí na minha rotina. O primeiro é o barriguinho. Eu uso ele pra fazer drenagem no meu abdômen e eu sinto muita diferença. O maior diferencial dele é que ele é crioterapico, irmãs. Então você passa e ele fica geladinho, tipo uma criolipólise. Além de estimular a produção de colágeno, firmar e hidratar a pele. Não, é perfeito, irmã. O segundo produto é o famoso bumbum queen. Ele é literalmente um pré-treino de passar. Eu uso ele sempre antes dos treinos de inferiores, principalmente na região do glúteo. Se você tem celulites, estrias, pelas encravadas, uma textura da pele meio irregular, eu tenho certeza que ele vai te ajudar também. O principal diferencial dele é que ele tem centela asiática, que é um ativo anti-inflamatório, além do efeito termogênico. E ajuda a ativar a microcirculação da região, irmão. Promovendo mais firmeza e melhora na aparência da pele. Além de que o efeito termogênico faz você sentir bem mais a região durante o treino. É tipo um raquizinho pra você mentalizar bem o músculo. E depois do meu convinho, eu tô pronta pro treino, ó.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC-style com aplicação de produto e voiceover.
2.  **Iluminação:** Mista, equilibrando luz natural e ambiente.
3.  **Foco corporal:** Aplicação de produto no abdômen e glúteos/coxas.
4.  **Paleta de cores:** Clara, pastel, com pontos de cor.
5.  **Qualidade de produção:** Semi-profissional de alta qualidade.
6.  **Elemento principal de atenção:** A modelo, sua energia e o físico.",Beleza,Solid
Insider Store,Benefit/Result,Aquela camisa que facilita sua mala,"Essa camisa vai ser estratégica na sua mala de verão. Se você também quer usar a camisa como saída de praia, eu te apresento a camisa Futureform da Insider. Ela é oversized, mais compridinha e soltinha, então fica perfeita por cima do biquíni. E sem ficar grudando, porque repele água e seca super rápido. E ela é muito prática, porque desamassa no corpo, então não precisa se preocupar na hora de guardar na mala, e nem quando guardar ela na bolsa de praia. E o melhor é que na viagem você lava, seca rápido e já aproveita em novas propostas. Como aberta no look casual de verão, fechada como chemise E até pra dar um charme naquele look mais esportivo que transita pro casual Se essas ocasiões fazem parte da sua viagem ou da sua rotina, você vai amar Mente link pra receber o meu link com cupom aplicado na Insider e dicas de outras peças que podem ser suas aliadas na mala de verão prática","Aqui está a análise:

1.  **Formato visual:** UGC talking head / showcase de produto / lifestyle
2.  **Iluminação:** Misto - luz ambiente com iluminação de reforço (ring light/softbox) interna, luz natural externa.
3.  **Ambiente:** Interno e externo (closet e praia).
4.  **Paleta de cores:** Clara, neutra, e minimalista.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora carismática e o produto.",Moda,Long-Runner
Plato,Benefit/Result,saia longa acetinada com fenda que eleva qualquer produção 🤍,"Uau, que saia acetinada de lançamento é essa, amor. Esgotando em 3, 2, 1. Além dessa tonalidade, a gente tem mais 4 cores disponíveis no site, tá? Ela tem um acetinado super encorpado. Então fiquem despreocupadas que não é aquele acetinado fininho, sabe? Vai ficar marcando. Pelo contrário, olha o quanto veste super bem. Tem a finda aqui na lateral. A aplicação em renda perfeita. O cos dela tem um elástico aqui embutido, tá? que ajuda a facilitar a servir mais tamanhos. E se você amou essa peça, corre, clica aqui pra garantir antes que você fixe a sua look, os nossos lançamentos são limitados e esbota tudo muito rápido.","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto com talking head.
2.  **Iluminação:** Estúdio/Ring Light (ou artificial controlada). Luzes embutidas no teto e LED criam um ambiente focado.
3.  **Ambiente:** Interno (ambiente de casa/apartamento moderno).
4.  **Paleta de cores:** Tons terrosos e neutros.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora e a saia em destaque.",Moda,Testing
